,count,zip
974,26,95060.0
975,8,95062.0
976,1,95064.0
977,2,95065.0
978,10,95066.0
979,1,95070.0
980,3,95073.0
981,1,95074.0
982,14,95076.0
983,1,95087.0
984,11,95110.0
985,14,95111.0
986,27,95112.0
987,6,95113.0
988,8,95116.0
989,9,95117.0
990,20,95118.0
991,2,95119.0
992,2,95120.0
993,5,95121.0
994,15,95122.0
995,17,95123.0
996,17,95124.0
997,13,95125.0
998,6,95126.0
999,11,95127.0
1000,19,95128.0
1001,11,95129.0
1002,1,95130.0
1003,12,95131.0
1004,6,95132.0
1005,4,95133.0
1006,3,95134.0
1007,3,95135.0
1008,7,95136.0
1009,2,95138.0
1010,2,95141.0
1011,8,95148.0
1012,1,95192.0
1013,3,95202.0
1014,6,95204.0
1015,7,95205.0
1016,5,95206.0
1017,23,95207.0
1018,1,95208.0
1019,6,95209.0
1020,8,95210.0
1021,2,95211.0
1022,4,95212.0
1023,1,95213.0
1024,5,95215.0
1025,7,95219.0
1026,2,95222.0
1027,1,95223.0
1028,9,95240.0
1029,8,95242.0
1030,1,95246.0
1031,2,95249.0
1032,1,95252.0
1033,1,95284.0
1034,13,95301.0
1035,4,95304.0
1036,8,95307.0
1037,1,95310.0
1038,2,95315.0
1039,1,95316.0
1040,4,95322.0
1041,1,95324.0
1042,5,95330.0
1043,7,95334.0
1044,19,95336.0
1045,6,95337.0
1046,2,95338.0
1047,18,95340.0
1048,2,95341.0
1049,1,95343.0
1050,12,95348.0
1051,15,95350.0
1052,14,95351.0
1053,2,95353.0
1054,10,95354.0
1055,11,95355.0
1056,9,95356.0
1057,2,95357.0
1058,4,95358.0
1059,1,95360.0
1060,11,95361.0
1061,4,95363.0
1062,1,95364.0
1063,5,95366.0
1064,5,95367.0
1065,4,95370.0
1066,15,95376.0
1067,8,95377.0
1068,14,95380.0
1069,8,95382.0
1070,3,95383.0
1071,8,95401.0
1072,26,95403.0
1073,9,95404.0
1074,8,95405.0
1075,10,95407.0
1076,8,95409.0
1077,1,95415.0
1078,6,95422.0
1079,5,95425.0
1080,1,95428.0
1081,2,95437.0
1082,1,95441.0
1083,1,95445.0
1084,3,95446.0
1085,8,95448.0
1086,1,95451.0
1087,6,95453.0
1088,1,95454.0
1089,1,95460.0
1090,1,95461.0
1091,1,95462.0
1092,1,95464.0
1093,1,95465.0
1094,2,95468.0
1095,7,95472.0
1096,12,95476.0
1097,7,95482.0
1098,1,95485.0
1099,1,95490.0
1100,4,95492.0
1101,19,95501.0
1102,7,95503.0
1103,5,95519.0
1104,13,95521.0
1105,6,95531.0
1106,2,95536.0
1107,7,95540.0
1108,3,95542.0
1109,2,95546.0
1110,1,95552.0
1111,1,95553.0
1112,1,95559.0
1113,2,95560.0
1114,1,95562.0
1115,3,95573.0
1116,4,95602.0
1117,27,95603.0
1118,3,95605.0
1119,8,95608.0
1120,18,95610.0
1121,1,95615.0
1122,20,95616.0
1123,2,95618.0
1124,2,95619.0
1125,10,95620.0
1126,11,95621.0
1127,15,95624.0
1128,9,95628.0
1129,37,95630.0
1130,5,95632.0
1131,1,95638.0
1132,1,95640.0
1133,6,95642.0
1134,12,95648.0
1135,1,95649.0
1136,1,95650.0
1137,1,95652.0
1138,1,95654.0
1139,6,95655.0
1140,1,95658.0
1141,9,95660.0
1142,20,95661.0
1143,7,95662.0
1144,12,95667.0
1145,3,95668.0
1146,24,95670.0
1147,4,95673.0
1148,12,95677.0
1149,27,95678.0
1150,7,95682.0
1151,1,95685.0
1152,32,95687.0
1153,21,95688.0
1154,21,95691.0
1155,4,95694.0
1156,17,95695.0
1157,1,95713.0
1158,2,95726.0
1159,5,95742.0
1160,6,95746.0
1161,17,95747.0
1162,1,95757.0
1163,19,95758.0
1164,10,95762.0
1165,15,95765.0
1166,9,95776.0
1167,3,95811.0
1168,30,95814.0
1169,14,95815.0
1170,9,95816.0
